cust_id,flag
784001,1
784002,1
784003,0
784004,0
784005,0
784006,1
784007,0
784008,0
784009,0
784010,1
784011,0
784012,0
784013,0
784014,1
784015,0
784016,0
784017,1
784018,0
784019,0
784020,0
784021,0
784022,0
784023,0
784024,1
784025,1
784026,0
784027,0
784028,0
784029,0
784030,0
784031,0
784032,0
784033,0
784034,0
784035,0
784036,0
784037,0
784038,0
784039,0
784040,0
784041,0
784042,0
784043,0
784044,0
784045,0
784046,0
784047,0
784048,0
784049,0
784050,0
784051,0
784052,0
784053,0
784054,0
784055,0
784056,0
784057,0
784058,0
784059,0
784060,0
784061,0
784062,0
784063,0
784064,0
784065,0
784066,0
784067,1
784068,0
784069,0
784070,0
784071,0
784072,0
784073,0
784074,0
784075,0
784076,0
784077,0
784078,0
784079,0
784080,0
784081,0
784082,0
784083,0
784084,0
784085,0
784086,0
784087,0
784088,0
784089,1
784090,0
784091,0
784092,0
784093,0
784094,0
784095,0
784096,0
784097,0
784098,0
784099,0
784100,0
784101,0
784102,0
784103,1
784104,0
784105,0
784106,1
784107,0
784108,0
784109,0
784110,0
784111,0
784112,1
784113,0
784114,0
784115,0
784116,0
784117,0
784118,0
784119,0
784120,1
784121,0
784122,0
784123,0
784124,0
784125,0
784126,0
784127,0
784128,0
784129,0
784130,0
784131,0
784132,0
784133,0
784134,0
784135,0
784136,1
784137,0
784138,0
784139,0
784140,0
784141,0
784142,0
784143,0
784144,0
784145,0
784146,0
784147,0
784148,0
784149,0
784150,0
784151,0
784152,0
784153,0
784154,0
784155,0
784156,0
784157,0
784158,0
784159,0
784160,0
784161,0
784162,0
784163,0
784164,0
784165,0
784166,0
784167,0
784168,0
784169,0
784170,1
784171,0
784172,0
784173,0
784174,0
784175,0
784176,0
784177,0
784178,0
784179,0
784180,1
784181,0
784182,0
784183,0
784184,0
784185,0
784186,0
784187,0
784188,1
784189,0
784190,0
784191,0
784192,0
784193,0
784194,0
784195,0
784196,0
784197,0
784198,0
784199,0
784200,0
784201,0
784202,0
784203,0
784204,0
784205,0
784206,0
784207,0
784208,0
784209,0
784210,0
784211,0
784212,0
784213,0
784214,0
784215,0
784216,0
784217,0
784218,0
784219,0
784220,0
784221,0
784222,0
784223,1
784224,1
784225,0
784226,0
784227,0
784228,0
784229,0
784230,1
784231,0
784232,0
784233,0
784234,0
784235,0
784236,0
784237,0
784238,0
784239,0
784240,0
784241,0
784242,0
784243,0
784244,1
784245,0
784246,0
784247,0
784248,0
784249,0
784250,0
784251,0
784252,0
784253,0
784254,0
784255,0
784256,1
784257,0
784258,1
784259,1
784260,0
784261,0
784262,0
784263,0
784264,0
784265,0
784266,0
784267,0
784268,0
784269,0
784270,0
784271,0
784272,0
784273,0
784274,0
784275,0
784276,0
784277,0
784278,0
784279,0
784280,0
784281,0
784282,0
784283,0
784284,0
784285,0
784286,0
784287,0
784288,0
784289,0
784290,0
784291,0
784292,0
784293,0
784294,0
784295,0
784296,0
784297,0
784298,0
784299,0
784300,0
784301,0
784302,0
784303,0
784304,0
784305,0
784306,0
784307,0
784308,0
784309,0
784310,0
784311,0
784312,0
784313,0
784314,0
784315,0
784316,1
784317,0
784318,0
784319,0
784320,0
784321,0
784322,0
784323,0
784324,0
784325,0
784326,0
784327,0
784328,0
784329,0
784330,0
784331,0
784332,0
784333,0
784334,0
784335,0
784336,0
784337,0
784338,0
784339,0
784340,0
784341,0
784342,0
784343,0
784344,0
784345,0
784346,0
784347,0
784348,0
784349,0
784350,0
784351,0
784352,0
784353,0
784354,0
784355,0
784356,0
784357,0
784358,0
784359,0
784360,1
784361,1
784362,0
784363,0
784364,0
784365,0
784366,0
784367,0
784368,0
784369,0
784370,0
784371,0
784372,0
784373,0
784374,0
784375,0
784376,0
784377,0
784378,0
784379,0
784380,0
784381,0
784382,0
784383,0
784384,1
784385,0
784386,0
784387,0
784388,0
784389,0
784390,0
784391,0
784392,0
784393,0
784394,0
784395,0
784396,0
784397,0
784398,0
784399,0
784400,0
784401,0
784402,0
784403,0
784404,0
784405,0
784406,0
784407,0
784408,0
784409,0
784410,0
784411,0
784412,0
784413,0
784414,0
784415,0
784416,0
784417,0
784418,0
784419,0
784420,0
784421,0
784422,0
784423,0
784424,0
784425,0
784426,0
784427,0
784428,0
784429,0
784430,1
784431,0
784432,0
784433,0
784434,0
784435,0
784436,0
784437,0
784438,0
784439,1
784440,0
784441,0
784442,0
784443,0
784444,0
784445,0
784446,0
784447,0
784448,0
784449,0
784450,0
784451,0
784452,0
784453,0
784454,0
784455,0
784456,0
784457,0
784458,0
784459,0
784460,1
784461,0
784462,0
784463,0
784464,0
784465,0
784466,0
784467,0
784468,0
784469,0
784470,0
784471,0
784472,0
784473,0
784474,0
784475,0
784476,0
784477,0
784478,0
784479,0
784480,0
784481,0
784482,0
784483,0
784484,0
784485,0
784486,0
784487,0
784488,0
784489,0
784490,0
784491,0
784492,0
784493,0
784494,0
784495,0
784496,0
784497,0
784498,0
784499,0
784500,0
784501,0
784502,0
784503,0
784504,0
784505,1
784506,0
784507,0
784508,0
784509,0
784510,0
784511,0
784512,0
784513,0
784514,0
784515,0
784516,0
784517,0
784518,0
784519,0
784520,0
784521,0
784522,0
784523,0
784524,0
784525,0
784526,0
784527,0
784528,0
784529,1
784530,1
784531,0
784532,0
784533,0
784534,0
784535,0
784536,0
784537,0
784538,0
784539,0
784540,0
784541,0
784542,0
784543,0
784544,0
784545,0
784546,0
784547,0
784548,0
784549,1
784550,0
784551,1
784552,0
784553,1
784554,1
784555,0
784556,0
784557,0
